City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,290.93,90,98,0.45,ZA,2021-04-04 23:42:32
1,Saskylakh,71.9167,114.0833,246.85,95,22,2.23,RU,2021-04-04 23:38:56
2,Ushuaia,-54.8,-68.3,279.15,81,75,2.57,AR,2021-04-04 23:38:47
3,Senj,44.9894,14.9058,281.15,39,0,2.06,HR,2021-04-04 23:44:24
4,Punta Arenas,-53.15,-70.9167,279.15,75,0,9.26,CL,2021-04-04 23:44:24
5,Northam,51.0333,-4.2167,281.48,93,56,2.24,GB,2021-04-04 23:43:34
6,Carnarvon,-24.8667,113.6333,297.15,83,15,6.69,AU,2021-04-04 23:40:07
7,Loa Janan,-0.583,117.095,297.79,96,99,1.2,ID,2021-04-04 23:44:25
8,Port Alfred,-33.5906,26.891,293.63,77,75,5.14,ZA,2021-04-04 23:44:25
9,Bela,25.9333,81.9833,297.04,8,12,1.48,IN,2021-04-04 23:44:26
10,Kapaa,22.0752,-159.319,298.15,61,90,6.69,US,2021-04-04 23:38:47
11,Georgetown,5.4112,100.3354,300.93,94,20,2.28,MY,2021-04-04 23:39:07
12,Kruisfontein,-34.0033,24.7314,292.59,79,99,0.89,ZA,2021-04-04 23:42:14
13,Mataura,-46.1927,168.8643,287.04,67,99,10.73,NZ,2021-04-04 23:38:50
14,Rikitea,-23.1203,-134.9692,298.67,65,46,8.53,PF,2021-04-04 23:41:45
15,Aripuana,-9.1667,-60.6333,295.87,97,99,0.97,BR,2021-04-04 23:39:26
16,Middle Island,40.8843,-72.9373,287.15,28,1,5.14,US,2021-04-04 23:44:26
17,Luderitz,-26.6481,15.1594,293.78,66,0,6.83,NA,2021-04-04 23:40:00
18,Kuryk,43.2,51.65,282.03,85,2,4.64,KZ,2021-04-04 23:44:27
19,Victoria,22.2855,114.1577,295.37,88,100,0.45,HK,2021-04-04 23:42:46
20,Vaini,-21.2,-175.2,300.15,74,20,6.69,TO,2021-04-04 23:41:47
21,Quelimane,-17.8786,36.8883,294.73,94,13,1.5,MZ,2021-04-04 23:44:12
22,Cape Town,-33.9258,18.4232,291.48,88,0,4.63,ZA,2021-04-04 23:40:52
23,Ponta Do Sol,32.6667,-17.1,286.48,62,74,1.34,PT,2021-04-04 23:44:08
24,Cap Malheureux,-19.9842,57.6142,299.82,77,11,2.68,MU,2021-04-04 23:42:05
25,Hithadhoo,-0.6,73.0833,301.54,75,54,8.47,MV,2021-04-04 23:39:08
26,Luena,-11.7833,19.9167,292.03,79,82,0.42,AO,2021-04-04 23:44:28
27,Pemberton,50.3164,-122.8027,281.15,34,75,1.26,CA,2021-04-04 23:44:28
28,New Norfolk,-42.7826,147.0587,291.48,60,69,0.45,AU,2021-04-04 23:43:52
29,Mahebourg,-20.4081,57.7,299.82,77,38,2.68,MU,2021-04-04 23:42:23
30,Snezhnogorsk,69.1933,33.2531,274.15,86,75,3.0,RU,2021-04-04 23:44:28
31,Anchorage,61.2181,-149.9003,278.71,60,75,8.75,US,2021-04-04 23:39:29
32,Xining,36.6167,101.7667,275.09,55,15,0.78,CN,2021-04-04 23:44:29
33,Butaritari,3.0707,172.7902,301.1,78,86,6.61,KI,2021-04-04 23:43:07
34,Berlevag,70.8578,29.0864,275.48,89,100,6.6,NO,2021-04-04 23:40:06
35,Saldanha,-33.0117,17.9442,290.15,88,15,3.09,ZA,2021-04-04 23:39:43
36,Bartica,6.4,-58.6167,299.15,89,20,2.06,GY,2021-04-04 23:44:30
37,Vao,-22.6667,167.4833,297.76,62,16,8.35,NC,2021-04-04 23:44:30
38,Manado,1.487,124.8455,301.53,72,61,1.66,ID,2021-04-04 23:42:27
39,The Valley,18.217,-63.0578,299.15,73,40,3.6,AI,2021-04-04 23:40:30
40,Naze,28.3667,129.4833,293.15,73,40,10.8,JP,2021-04-04 23:44:30
41,Mazagao,-0.115,-51.2894,302.15,100,90,1.03,BR,2021-04-04 23:44:31
42,Bethel,41.3712,-73.414,287.15,30,1,3.6,US,2021-04-04 23:38:51
43,Hamilton,39.1834,-84.5333,296.15,35,1,2.57,US,2021-04-04 23:37:05
44,Atuona,-9.8,-139.0333,300.04,79,79,2.91,PF,2021-04-04 23:38:55
45,Lensk,60.7253,114.9278,257.43,86,94,2.03,RU,2021-04-04 23:42:56
46,Porto Walter,-8.2686,-72.7439,295.45,99,97,0.95,BR,2021-04-04 23:44:31
47,Port Elizabeth,-33.918,25.5701,293.15,77,90,4.63,ZA,2021-04-04 23:42:27
48,Prince Rupert,54.3161,-130.3201,279.15,65,90,4.12,CA,2021-04-04 23:44:32
49,Arraial Do Cabo,-22.9661,-42.0278,297.52,73,78,5.87,BR,2021-04-04 23:41:47
50,Ternate,0.8,127.4,300.84,76,68,2.57,ID,2021-04-04 23:39:30
51,Busselton,-33.65,115.3333,292.92,81,13,1.66,AU,2021-04-04 23:42:32
52,Bluff,-46.6,168.3333,287.04,67,94,10.73,NZ,2021-04-04 23:38:54
53,Talnakh,69.4865,88.3972,258.03,71,100,5.17,RU,2021-04-04 23:39:18
54,Hilo,19.7297,-155.09,297.15,73,90,4.16,US,2021-04-04 23:41:52
55,Labuhan,-6.8844,112.2051,298.83,84,100,2.44,ID,2021-04-04 23:41:13
56,Hambantota,6.1241,81.1185,297.49,81,97,2.56,LK,2021-04-04 23:42:09
57,Hobart,-42.8794,147.3294,291.48,55,20,3.6,AU,2021-04-04 23:35:23
58,Fort Nelson,58.8053,-122.7002,282.15,25,40,2.57,CA,2021-04-04 23:44:33
59,Marystown,47.1666,-55.1483,278.87,94,100,8.95,CA,2021-04-04 23:44:33
60,Sao Tome,0.3365,6.7273,299.81,82,62,2.47,ST,2021-04-04 23:44:34
61,Torbay,47.6666,-52.7314,277.04,100,90,6.17,CA,2021-04-04 23:39:05
62,Ostrovnoy,68.0531,39.5131,274.09,89,100,8.24,RU,2021-04-04 23:44:34
63,Bonfim,3.0833,-59.95,299.28,77,83,3.93,BR,2021-04-04 23:44:34
64,Barrow,71.2906,-156.7887,254.15,65,1,6.69,US,2021-04-04 23:39:09
65,Tarbagatay,51.4803,107.3602,273.15,80,40,2.0,RU,2021-04-04 23:44:35
66,Ketchikan,55.3422,-131.6461,278.99,73,99,0.86,US,2021-04-04 23:43:51
67,Kintampo,8.0563,-1.7306,301.42,56,63,3.7,GH,2021-04-04 23:44:35
68,Castro,-24.7911,-50.0119,287.62,97,30,3.28,BR,2021-04-04 23:39:06
69,Bredasdorp,-34.5322,20.0403,290.15,94,100,3.09,ZA,2021-04-04 23:34:12
70,Vorukh,39.8494,70.5838,275.74,91,97,1.91,TJ,2021-04-04 23:44:36
71,Bambous Virieux,-20.3428,57.7575,299.82,77,45,2.68,MU,2021-04-04 23:44:36
72,Neiafu,-18.65,-173.9833,301.15,78,75,2.06,TO,2021-04-04 23:44:36
73,Ribeira Grande,38.5167,-28.7,289.33,79,65,6.98,PT,2021-04-04 23:40:05
74,Albany,42.6001,-73.9662,286.15,32,40,7.72,US,2021-04-04 23:39:12
75,Bonthe,7.5264,-12.505,299.34,89,32,2.63,SL,2021-04-04 23:44:37
76,Port Macquarie,-31.4333,152.9167,296.48,73,100,2.06,AU,2021-04-04 23:44:37
77,Penzance,50.1186,-5.5371,280.93,93,47,3.6,GB,2021-04-04 23:44:37
78,Avera,33.194,-82.5271,293.15,26,1,1.54,US,2021-04-04 23:43:56
79,Jamestown,42.097,-79.2353,283.15,40,1,3.6,US,2021-04-04 23:39:50
80,Gambela,8.25,34.5833,299.92,57,95,0.65,ET,2021-04-04 23:41:27
81,Clyde River,70.4692,-68.5914,248.15,77,1,4.12,CA,2021-04-04 23:44:38
82,Lebu,-37.6167,-73.65,285.2,89,42,4.76,CL,2021-04-04 23:39:57
83,Nouakchott,18.0858,-15.9785,297.15,64,71,7.2,MR,2021-04-04 23:43:59
84,Warri,5.5167,5.75,299.07,86,49,1.59,NG,2021-04-04 23:44:38
85,Gejiu,23.306,103.1635,283.31,96,100,0.18,CN,2021-04-04 23:44:39
86,Okato,-39.2,173.8833,293.15,75,97,5.36,NZ,2021-04-04 23:42:27
87,Belyy Yar,53.6039,91.3903,268.15,86,36,1.44,RU,2021-04-04 23:44:39
88,Norman Wells,65.282,-126.8329,271.15,50,75,4.63,CA,2021-04-04 23:40:59
89,Shitkino,56.3703,98.3543,272.98,96,100,1.08,RU,2021-04-04 23:44:39
90,Saint-Pierre,-21.3393,55.4781,298.15,73,0,2.06,RE,2021-04-04 23:39:48
91,Lagoa,39.05,-27.9833,288.65,83,77,6.92,PT,2021-04-04 23:43:41
92,Canavieiras,-15.675,-38.9472,296.78,91,100,2.23,BR,2021-04-04 23:43:24
93,Sao Filipe,14.8961,-24.4956,295.82,74,5,2.91,CV,2021-04-04 23:44:40
94,Ilulissat,69.2167,-51.1,266.15,73,75,5.66,GL,2021-04-04 23:44:40
95,Nipawin,53.3668,-104.0009,278.15,75,1,5.14,CA,2021-04-04 23:44:41
96,Sur,22.5667,59.5289,301.71,41,3,3.27,OM,2021-04-04 23:40:05
97,Belmonte,-15.8631,-38.8828,297.15,88,90,3.6,BR,2021-04-04 23:43:15
98,Townsville,-19.25,146.8,297.15,94,90,1.03,AU,2021-04-04 23:40:08
99,Setermoen,68.861,18.3486,265.15,93,40,1.03,NO,2021-04-04 23:44:41
100,Mar Del Plata,-38.0023,-57.5575,293.71,88,40,4.12,AR,2021-04-04 23:41:30
101,Hami,42.8,93.45,281.88,42,39,4.23,CN,2021-04-04 23:39:52
102,Puerto Ayora,-0.7393,-90.3518,298.71,92,50,0.45,EC,2021-04-04 23:44:42
103,Pavino,59.1139,46.1414,268.0,96,36,2.03,RU,2021-04-04 23:44:42
104,Kodiak,57.79,-152.4072,283.15,53,40,5.66,US,2021-04-04 23:42:24
105,Omboue,-1.5746,9.2618,299.07,90,100,2.19,GA,2021-04-04 23:42:17
106,Impfondo,1.6381,18.0667,296.67,84,76,1.72,CG,2021-04-04 23:42:51
107,Cabo San Lucas,22.8909,-109.9124,306.15,17,1,10.29,MX,2021-04-04 23:44:43
108,Hasaki,35.7333,140.8333,289.26,100,75,3.09,JP,2021-04-04 23:39:28
109,Teahupoo,-17.8333,-149.2667,304.15,66,20,1.54,PF,2021-04-04 23:44:43
110,Dongsheng,39.8161,109.9776,276.75,67,100,7.81,CN,2021-04-04 23:43:44
111,Sitka,57.0531,-135.33,277.15,93,90,5.14,US,2021-04-04 23:38:40
112,Muriwai Beach,-36.8167,174.45,294.82,62,100,2.68,NZ,2021-04-04 23:44:44
113,Pacific Grove,36.6177,-121.9166,287.59,62,1,4.63,US,2021-04-04 23:44:35
114,Taltal,-25.4,-70.4833,292.17,76,20,0.97,CL,2021-04-04 23:43:58
115,Tadine,-21.55,167.8833,298.76,60,10,7.38,NC,2021-04-04 23:44:44
116,Thompson,55.7435,-97.8558,280.15,26,75,3.09,CA,2021-04-04 23:39:26
117,Muros,42.7762,-9.0603,284.82,76,2,3.46,ES,2021-04-04 23:44:45
118,Kargil,34.5667,76.1,271.13,88,99,1.91,IN,2021-04-04 23:44:45
119,Byron Bay,-28.65,153.6167,296.15,83,90,3.09,AU,2021-04-04 23:39:47
120,Saint-Philippe,-21.3585,55.7679,299.15,73,0,2.06,RE,2021-04-04 23:39:18
121,Dikson,73.5069,80.5464,257.97,93,99,2.54,RU,2021-04-04 23:39:25
122,Qaanaaq,77.484,-69.3632,248.25,57,26,3.62,GL,2021-04-04 23:38:57
123,Panacan,9.2463,118.4082,298.15,83,20,3.09,PH,2021-04-04 23:44:46
124,Codrington,-38.2667,141.9667,290.21,55,69,4.39,AU,2021-04-04 23:38:54
125,Karpathos,35.507,27.2132,290.15,82,100,2.06,GR,2021-04-04 23:44:46
126,Ballymena,54.8636,-6.2763,278.15,81,75,8.23,GB,2021-04-04 23:44:47
127,Pevek,69.7008,170.3133,251.63,91,95,3.51,RU,2021-04-04 23:38:52
128,Encruzilhada,-15.5314,-40.9094,293.48,97,84,3.17,BR,2021-04-04 23:44:47
129,Sesquile,5.0475,-73.8008,288.15,67,40,2.57,CO,2021-04-04 23:44:47
130,Coquimbo,-29.9533,-71.3436,290.15,63,20,2.06,CL,2021-04-04 23:40:18
131,Kharp,66.8014,65.8081,267.35,91,100,2.23,RU,2021-04-04 23:44:48
132,Tilichiki,60.4667,166.1,265.13,85,100,6.67,RU,2021-04-04 23:44:48
133,Daund,18.4667,74.6,298.34,50,6,3.34,IN,2021-04-04 23:44:48
134,East London,-33.0153,27.9116,292.74,71,16,5.9,ZA,2021-04-04 23:44:49
135,Magadan,59.5667,150.8,265.15,56,100,2.7,RU,2021-04-04 23:44:49
136,Port Blair,11.6667,92.75,299.59,78,14,1.93,IN,2021-04-04 23:43:48
137,Badiraguato,25.3667,-107.5167,305.15,20,1,4.63,MX,2021-04-04 23:44:49
138,Timmins,48.4669,-81.3331,283.15,27,75,2.06,CA,2021-04-04 23:44:50
139,Wexford,52.3342,-6.4575,281.48,75,66,1.34,IE,2021-04-04 23:44:50
140,Severo-Kurilsk,50.6789,156.125,272.02,80,96,6.3,RU,2021-04-04 23:39:14
141,Longhua,23.6137,114.1919,294.72,67,100,1.65,CN,2021-04-04 23:44:50
142,Dungarpur,23.8333,73.7167,299.23,23,0,3.78,IN,2021-04-04 23:44:51
143,Bagotville,-28.9833,153.4167,296.15,88,90,3.09,AU,2021-04-04 23:44:51
144,Mount Gambier,-37.8333,140.7667,289.15,63,56,4.63,AU,2021-04-04 23:43:53
145,Poya,-21.35,165.15,300.42,57,45,3.62,NC,2021-04-04 23:44:27
